Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Deluxe Queen Suite,4,209,9.5,2025-01-06,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-06,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-07,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-08,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-08,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,214,9.5,2025-01-09,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,214,9.5,2025-01-09,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,214,9.5,2025-01-10,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-11,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-12,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-12,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,199,9.5,2025-01-13,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,199,9.5,2025-01-13,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,204,9.5,2025-01-14,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,204,9.5,2025-01-14,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,204,9.5,2025-01-15,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,204,9.5,2025-01-15,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,204,9.5,2025-01-16,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-17,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-19,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-19,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,204,9.5,2025-01-20,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,204,9.5,2025-01-20,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,204,9.5,2025-01-21,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,204,9.5,2025-01-21,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,204,9.5,2025-01-22,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,204,9.5,2025-01-22,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-23,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-23,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,214,9.5,2025-01-24,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,214,9.5,2025-01-25,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-26,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-26,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-27,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-27,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-28,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-28,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-29,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-01-30,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-01-30,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,219,9.5,2025-02-01,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,219,9.5,2025-02-02,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,219,9.5,2025-02-02,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-02-03,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-02-03,01-05-2025,Jackson Property,Huff House Inn and Cabins
Deluxe Queen Suite,4,209,9.5,2025-02-04,01-05-2025,Jackson Property,Huff House Inn and Cabins
King Room with Balcony,1 Only for 1 guest,209,9.5,2025-02-04,01-05-2025,Jackson Property,Huff House Inn and Cabins
,2,174,7.6,2025-01-06,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,214,7.6,2025-01-06,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-06,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,154,7.6,2025-01-06,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-07,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-07,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-07,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-07,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-07,01-05-2025,Jackson Property,The Jackson SouthTown
,2,153,7.6,2025-01-08,01-05-2025,Jackson Property,The Jackson SouthTown
,2,173,7.6,2025-01-08,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,213,7.6,2025-01-08,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-08,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,153,7.6,2025-01-08,01-05-2025,Jackson Property,The Jackson SouthTown
,2,153,7.6,2025-01-09,01-05-2025,Jackson Property,The Jackson SouthTown
,2,173,7.6,2025-01-09,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,213,7.6,2025-01-09,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-09,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,153,7.6,2025-01-09,01-05-2025,Jackson Property,The Jackson SouthTown
,2,160,7.6,2025-01-10,01-05-2025,Jackson Property,The Jackson SouthTown
,2,180,7.6,2025-01-10,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,220,7.6,2025-01-10,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-10,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,160,7.6,2025-01-10,01-05-2025,Jackson Property,The Jackson SouthTown
,2,160,7.6,2025-01-11,01-05-2025,Jackson Property,The Jackson SouthTown
,2,180,7.6,2025-01-11,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,220,7.6,2025-01-11,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-11,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,160,7.6,2025-01-11,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-12,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-12,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-12,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-12,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-12,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-13,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-13,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-13,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-13,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-13,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-13,01-05-2025,Jackson Property,The Jackson SouthTown
,2,150,7.6,2025-01-14,01-05-2025,Jackson Property,The Jackson SouthTown
,2,150,7.6,2025-01-14,01-05-2025,Jackson Property,The Jackson SouthTown
,2,170,7.6,2025-01-14,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,210,7.6,2025-01-14,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-14,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,150,7.6,2025-01-14,01-05-2025,Jackson Property,The Jackson SouthTown
,2,155,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
,2,155,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,215,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,155,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
,2,162,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
,2,162,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
,2,162,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
,2,182,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,222,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,162,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
,2,186,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
,2,166,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,226,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,166,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
,2,173,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
,2,153,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,213,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,153,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
,2,150,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
,2,150,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
,2,170,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,210,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,150,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
,2,156,7.6,2025-01-23,01-05-2025,Jackson Property,The Jackson SouthTown
,2,156,7.6,2025-01-23,01-05-2025,Jackson Property,The Jackson SouthTown
,2,176,7.6,2025-01-23,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,216,7.6,2025-01-23,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-23,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,156,7.6,2025-01-23,01-05-2025,Jackson Property,The Jackson SouthTown
,2,172,7.6,2025-01-24,01-05-2025,Jackson Property,The Jackson SouthTown
,2,192,7.6,2025-01-24,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,232,7.6,2025-01-24,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-24,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,172,7.6,2025-01-24,01-05-2025,Jackson Property,The Jackson SouthTown
,2,161,7.6,2025-01-25,01-05-2025,Jackson Property,The Jackson SouthTown
,2,181,7.6,2025-01-25,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,221,7.6,2025-01-25,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-25,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,161,7.6,2025-01-25,01-05-2025,Jackson Property,The Jackson SouthTown
,2,173,7.6,2025-01-26,01-05-2025,Jackson Property,The Jackson SouthTown
,2,153,7.6,2025-01-26,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,213,7.6,2025-01-26,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-26,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,153,7.6,2025-01-26,01-05-2025,Jackson Property,The Jackson SouthTown
,2,154,7.6,2025-01-27,01-05-2025,Jackson Property,The Jackson SouthTown
,2,174,7.6,2025-01-27,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,214,7.6,2025-01-27,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-27,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,154,7.6,2025-01-27,01-05-2025,Jackson Property,The Jackson SouthTown
,2,173,7.6,2025-01-28,01-05-2025,Jackson Property,The Jackson SouthTown
,2,153,7.6,2025-01-28,01-05-2025,Jackson Property,The Jackson SouthTown
,2,153,7.6,2025-01-28,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,213,7.6,2025-01-28,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-28,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,153,7.6,2025-01-28,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-29,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-29,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-29,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-29,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-29,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-29,01-05-2025,Jackson Property,The Jackson SouthTown
,2,154,7.6,2025-01-30,01-05-2025,Jackson Property,The Jackson SouthTown
,2,154,7.6,2025-01-30,01-05-2025,Jackson Property,The Jackson SouthTown
,2,174,7.6,2025-01-30,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,214,7.6,2025-01-30,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-30,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,154,7.6,2025-01-30,01-05-2025,Jackson Property,The Jackson SouthTown
,2,161,7.6,2025-01-31,01-05-2025,Jackson Property,The Jackson SouthTown
,2,181,7.6,2025-01-31,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,221,7.6,2025-01-31,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-31,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,161,7.6,2025-01-31,01-05-2025,Jackson Property,The Jackson SouthTown
,2,198,7.6,2025-02-01,01-05-2025,Jackson Property,The Jackson SouthTown
,2,178,7.6,2025-02-01,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,238,7.6,2025-02-01,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,165,7.6,2025-02-01,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,178,7.6,2025-02-01,01-05-2025,Jackson Property,The Jackson SouthTown
,2,183,7.6,2025-02-02,01-05-2025,Jackson Property,The Jackson SouthTown
,2,163,7.6,2025-02-02,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,223,7.6,2025-02-02,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,165,7.6,2025-02-02,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,163,7.6,2025-02-02,01-05-2025,Jackson Property,The Jackson SouthTown
,2,167,7.6,2025-02-03,01-05-2025,Jackson Property,The Jackson SouthTown
